"logo_url","organization","description","category","years","order","status","id","created_date","updated_date","created_by_id","is_sample"
"","Computer Science Club","","Club","2022–2026","2","published","6a4af185d9f9f8de1aeed594","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Bollywood Theatre Dance Team","","Team","2022–2026","3","published","6a4af185d9f9f8de1aeed595","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Film & Photography Club","","Club","2022–2026","4","published","6a4af185d9f9f8de1aeed596","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Math Club","","Club","2022–2026","5","published","6a4af185d9f9f8de1aeed597","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","WiSTEM Club","","Club","2023–2026","6","published","6a4af185d9f9f8de1aeed598","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Wolfpack School Ambassadors","","Club","2023–2026","7","published","6a4af185d9f9f8de1aeed599","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Yearbook Club","","Club","2023–2026","8","published","6a4af185d9f9f8de1aeed59a","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Ching Navigators","","Club","2023–2026","9","published","6a4af185d9f9f8de1aeed59b","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","1Up Chinguacousy Chapter","","Club","2024–2026","10","published","6a4af185d9f9f8de1aeed59c","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Musical Theatre Crew (Publicity & Photography)","","Team","2024–2025","11","published","6a4af185d9f9f8de1aeed59d","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Hack the North Volunteer Team","","Volunteer Group","2025","12","published","6a4af185d9f9f8de1aeed59e","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Junior Girls Badminton","","Team","2023–2024","13","published","6a4af185d9f9f8de1aeed59f","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Peer Leadership Team","","Club","2024–2026","14","published","6a4af185d9f9f8de1aeed5a0","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Garba Dance Team","","Team","2024–2026","15","published","6a4af185d9f9f8de1aeed5a1","2026-07-06T00:06:29.752000","2026-07-06T00:06:29.752000","6a4736c352c574e239e79509","false"
"","Chinguacousy Art Club","","Club","2022–2026","1","published","6a4af185d9f9f8de1aeed593","2026-07-06T00:06:29.751000","2026-07-06T00:06:29.751000","6a4736c352c574e239e79509","false"